id	count	name	formula
PEG	1530	DI(HYDROXYETHYL)ETHER	C4 H10 O3
MAN	1478	ALPHA-D-MANNOSE	C6 H12 O6
ADP	1469	ADENOSINE-5'-DIPHOSPHATE	C10 H15 N5 O10 P2
BMA	1329	BETA-D-MANNOSE	C6 H12 O6
ACE	1238	ACETYL GROUP	C2 H4 O
FE	1200	FE (III) ION	FE 3
CU	997	COPPER (II) ION	CU 2
NAD	978	NICOTINAMIDE-ADENINE-DINUCLEOTIDE	C21 H27 N7 O14 P2
MPD	971	(4S)-2-METHYL-2,4-PENTANEDIOL	C6 H14 O2
NAP	923	NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE	C21 H28 N7 O17 P3
NI	894	NICKEL (II) ION	NI 2
ATP	889	ADENOSINE-5'-TRIPHOSPHATE	C10 H16 N5 O13 P3
NH2	887	AMINO GROUP	H2 N
DMS	859	DIMETHYL SULFOXIDE	C2 H6 O S
MES	818	2-(N-MORPHOLINO)-ETHANESULFONIC ACID	C6 H13 N O4 S
TRS	818	2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL	C4 H12 N O3 1
BME	798	BETA-MERCAPTOETHANOL	C2 H6 O S
CD	777	CADMIUM ION	CD 2
PG4	777	TETRAETHYLENE GLYCOL	C8 H18 O5
FMT	772	FORMIC ACID	C H2 O2
FMN	771	FLAVIN MONONUCLEOTIDE	C17 H21 N4 O9 P
GDP	744	GUANOSINE-5'-DIPHOSPHATE	C10 H15 N5 O11 P2
PLP	740	PYRIDOXAL-5'-PHOSPHATE	C8 H10 N O6 P
GAL	738	BETA-D-GALACTOSE	C6 H12 O6
FUC	730	ALPHA-L-FUCOSE	C6 H12 O5
ACY	697	ACETIC ACID	C2 H4 O2
SEP	686	PHOSPHOSERINE	C3 H8 N O6 P
EPE	652	4-(2-HYDROXYETHYL)-1-PIPERAZINE ETHANESULFONIC ACID	C8 H18 N2 O4 S
CIT	640	CITRIC ACID	C6 H8 O7
SF4	636	IRON/SULFUR CLUSTER	FE4 S4
PGE	598	TRIETHYLENE GLYCOL	C6 H14 O4
SAH	589	S-ADENOSYL-L-HOMOCYSTEINE	C14 H20 N6 O5 S
CO	585	COBALT (II) ION	CO 2
BGC	583	BETA-D-GLUCOSE	C6 H12 O6
TPO	579	PHOSPHOTHREONINE	C4 H10 N O6 P
PCA	573	PYROGLUTAMIC ACID	C5 H7 N O3
IOD	566	IODIDE ION	I -1
NDP	539	NADPH DIHYDRO-NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE	C21 H30 N7 O17 P3
FE2	537	FE (II) ION	FE 2
GLC	532	ALPHA-D-GLUCOSE	C6 H12 O6
ANP	527	PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER	C10 H17 N6 O12 P3
IMD	494	IMIDAZOLE	C3 H5 N2 1
FES	481	FE2/S2 (INORGANIC) CLUSTER	FE2 S2
NDG	463	2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE	C8 H15 N O6
AMP	461	ADENOSINE MONOPHOSPHATE	C10 H14 N5 O7 P
UNX	459	UNKNOWN ATOM OR ION	X
CSO	439	S-HYDROXYCYSTEINE	C3 H7 N O3 S
PTR	434	O-PHOSPHOTYROSINE	C9 H12 N O6 P
NO3	430	NITRATE ION	N O3 -1
GTP	416	GUANOSINE-5'-TRIPHOSPHATE	C10 H16 N5 O14 P3
HG	413	MERCURY (II) ION	HG 2
IPA	411	ISOPROPYL ALCOHOL	C3 H8 O
1PE	407	PENTAETHYLENE GLYCOL	C10 H22 O6
COA	366	COENZYME A	C21 H36 N7 O16 P3 S
UNK	363	UNKNOWN	C4 H9 N O2
KCX	357	LYSINE NZ-CARBOXYLIC ACID	C7 H14 N2 O4
HEC	342	HEME C	C34 H34 FE N4 O4
MRD	335	(4R)-2-METHYLPENTANE-2,4-DIOL	C6 H14 O2
BOG	335	B-OCTYLGLUCOSIDE	C14 H28 O6
LLP	332	2-LYSINE(3-HYDROXY-2-METHYL-5-PHOSPHONOOXYMETHYL-PYRIDIN-4-YLMETHANE)	C14 H24 N3 O7 P
UNL	322	UNKNOWN LIGAND	
CSD	320	3-SULFINOALANINE	C3 H7 N O4 S
BR	316	BROMIDE ION	BR -1
H4B	314	5,6,7,8-TETRAHYDROBIOPTERIN	C9 H15 N5 O3
CMO	304	CARBON MONOXIDE	C O
UDP	298	URIDINE-5'-DIPHOSPHATE	C9 H14 N2 O12 P2
FLC	296	CITRATE ANION	C6 H5 O7 -3
SIA	294	O-SIALIC ACID	C11 H19 N O9
CO3	288	CARBONATE ION	C O3 -2
SAM	286	S-ADENOSYLMETHIONINE	C15 H22 N6 O5 S
GSH	283	GLUTATHIONE	C10 H17 N3 O6 S
GNP	281	PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER	C10 H17 N6 O13 P3
TLA	275	L(+)-TARTARIC ACID	C4 H6 O6
CME	267	S,S-(2-HYDROXYETHYL)THIOCYSTEINE	C5 H11 N O3 S2
PSU	249	PSEUDOURIDINE-5'-MONOPHOSPHATE	C9 H13 N2 O9 P
SCN	242	THIOCYANATE ION	C N S -1
P6G	240	HEXAETHYLENE GLYCOL	C12 H26 O7
OXY	236	OXYGEN MOLECULE	O2
CAC	220	CACODYLATE ION	C2 H6 AS O2 -1
MLI	219	MALONATE ION	C3 H2 O4 -2
NCO	217	COBALT HEXAMMINE(III)	CO H18 N6 3
TYS	216	O-SULFO-L-TYROSINE	C9 H11 N O6 S
SUC	212	SUCROSE	C12 H22 O11
MLY	205	N-DIMETHYL-LYSINE	C8 H18 N2 O2
F3S	204	FE3-S4 CLUSTER	FE3 S4
POP	204	PYROPHOSPHATE 2-	H2 O7 P2 -2
PLM	199	PALMITIC ACID	C16 H32 O2
DAL	193	D-ALANINE	C3 H7 N O2
RET	191	RETINAL	C20 H28 O
EOH	189	ETHANOL	C2 H6 O
XYP	188	BETA-D-XYLOPYRANOSE	C5 H10 O5
DOC	184	2',3'-DIDEOXYCYTIDINE-5'-MONOPHOSPHATE	C9 H14 N3 O6 P
