id	count	name	formula
MC	1	1,2-CIS-1-HYDROXY-2,7-DIAMINO-MITOSENE	C14 H16 N4 O5
TTX	1	TENTOXIN	C22 H30 N4 O4
LIH	1	6-([5-QUINOLYLAMINO]METHYL)-2,4-DIAMINO-5-METHYLPYRIDO[2,3-D]PYRIMIDINE	C18 H17 N7
LII	1	(Z)-6-(2-[2,5-DIMETHOXYPHENYL]ETHEN-1-YL)-2,4-DIAMINO-5-METHYLPYRIDO[2,3-D]PYRIMIDINE	C18 H19 N5 O2
PNE	1	PARA-NITROPHENYL PHOSPHONOBUTANOYL L-ALANINE	C13 H17 N2 O8 P
PDE	1	PARA-NITROPHENYL PHOSPHONOBUTANOYL D-ALANINE	C13 H17 N2 O8 P
YPA	1	(S)-3-(4-(2-CARBAZOL-9-YL-ETHOXY)-PHENYL)-2-ETHOXY-PROPIONIC ACID	C25 H25 N O4
HIF	1	FE(III)-(4-MESOPORPHYRINONE)	C34 H36 FE N4 O5
ADW	1	ADENOSINE-5'-DITUNGSTATE	C10 H15 N5 O10 W2
ADJ	1	NICOTINAMIDE-ADENINE-DINUCLEOTIDE-ADENYLATE INTERMEDIATE	C31 H44 N11 O21 P3
BR4	1	6-PHENYL-4(R)-(7-PHENYL-HEPTANOYLAMINO)-HEXANOIC ACID	C25 H33 N O3
OXI	1	OXOLINIC ACID	C13 H11 N O5
FXV	1	METHYL-3-(4'-N-OXOPYRIDYLPHENOYL)-3-METHYL-2-(M-AMIDINOBENZYL)-PROPIONATE	C25 H27 N4 O4 1
NBS	1	N6-BENZYL ADENOSINE-5'-DIPHOSPHATE	C17 H21 N5 O10 P2
ILP	1	N-[O-PHOSPHONO-PYRIDOXYL]-ISOLEUCINE	C14 H23 N2 O7 P
AZC	1	N-ACETYL-N'-BETA-D-GLUCOPYRANOSYL UREA	C9 H16 N2 O7
CA5	1	COA-S-ACETYL 5-BROMOTRYPTAMINE	C33 H47 BR N9 O17 P3 S
CA3	1	COA-S-TRIMETHYLENE-ACETYL-TRYPTAMINE	C36 H54 N9 O17 P3 S
KCP	1	2-[CARBOXY-(2-THIOPHEN-2-YL-ACETYLAMINO)-METHYL]-5-METHYL-3,6-DIHYDRO-2H-[1,3]THIAZINE-4-CARBOXYLIC ACID	C14 H16 N2 O5 S2
THN	1	2-[CARBOXY-(2-THIOPHEN-2-YL-ACETYLAMINO)-METHYL]-5-METHYLENE-5,6-DIHYDRO-2H-[1,3]THIAZINE-4-CARBOXYLIC ACID	C14 H14 N2 O5 S2
OAP	1	4-(S)-[(1-OXO-7-PHENYLHEPTYL)AMINO]-5-[4-(PHENYLMETHYL)PHENYLTHIO]PENTANOIC ACID	C31 H37 N O3 S
SG1	1	3-NITRO-4-(2-OXO-PYRROLIDIN-1-YL)-BENZENESULFONAMIDE	C10 H11 N3 O5 S
SG2	1	1-METHYL-3-OXO-1,3-DIHYDRO-BENZO[C]ISOTHIAZOLE-5-SULFONIC ACID AMIDE	C8 H8 N2 O3 S2
HEU	1	3-(2-HYDROXYETHYL)-2'-DEOXYURIDINE-5'-MONOPHOSPHATE	C11 H17 N2 O9 P
ADY	1	3'-OXO-ADENOSINE	C10 H11 N5 O4
KTP	1	(2-NAPHTHALEN-2-YL-1-NAPHTHALEN-1-YL-2-OXO-ETHYL)-PHOSPHONIC ACID	C22 H17 O4 P
HFL	1	5-(3,3-DIHYDROXYPROPENY)-3-METHOXY-BENZENE-1,2-DIOL	C10 H12 O5
PFE	1	{4-[3-(6,7-DIETHOXY-QUINAZOLIN-4-YLAMINO)-PHENYL]-THIAZOL-2-YL}-METHANOL	C22 H22 N4 O3 S
CBN	1	CLOROBIOCIN	C35 H37 CL N2 O11
NGP	1	NOGALAMYCIN (PROTONATED FORM)	C39 H52 N O16 1
PYN	1	3-PYRROLIDIN-1-YL-N-[6-(3-PYRROLIDIN-1-YL-PROPIONYLAMINO)-ACRIDIN-3-YL]-PROPIONAMIDE	C27 H33 N5 O2
AD2	1	2'-DEOXY-ADENOSINE-3'-5'-DIPHOSPHATE	C10 H15 N5 O9 P2
STC	1	3-[(4-CHLOROANILINO)SULFONYL]THIOPHENE-2-CARBOXYLIC ACID	C11 H8 CL N O4 S2
150	1	4,5-DIMETHYL-1,2-PHENYLENEDIAMINE	C8 H12 N2
34A	1	3,4-DIMETHYLANILINE	C8 H11 N
2AC	1	2-AMINO-P-CRESOL	C7 H9 N O
2AF	1	2-AMINOPHENOL	C6 H7 N O
1RB	1	1-ALPHA-D-RIBOFURANOSYL-BENZIMIAZOLE-5'-PHOSPHATE	C12 H15 N2 O7 P
7RP	1	7-ALPHA-D-RIBOFURANOSYL-PURINE-5'-PHOSPHATE	C10 H13 N4 O7 P
7RA	1	7-ALPHA-D-RIBOFURANOSYL-2-AMINOPURINE-5'-PHOSPHATE	C10 H14 N5 O7 P
2MP	1	3,4-DIMETHYLPHENOL	C8 H10 O
DBD	1	7-(1,1-DIOXO-1H-BENZO[D]ISOTHIAZOL-3-YLOXYMETHYL)-2-(OXALYL-AMINO)-4,7-DIHYDRO-5H-THIENO[2,3-C]PYRAN-3-CARBOXYLIC ACID	C18 H14 N2 O9 S2
APO	1	D-2-AMINO-3-PHOSPHONO-PROPIONIC ACID	C3 H8 N O5 P
GCW	1	4-O-METHYL-BETA-D-GLUCURONIC ACID	C7 H12 O7
T80	1	METHYLPENTA(OXYETHYL) HEPTADECANOATE	C29 H58 O7
33P	1	{3-[(3-HYDROXY-2-METHYL-5-PHOSPHONOOXYMETHYL-PYRIDIN-4-YLMETHYL)-AMINO]-2-METHYL-PROPYL}-PHOSPHONIC ACID	C11 H20 N2 O9 P2
U66	1	(20S)-19,20,22,23-TETRAHYDRO-19-OXO-5H,21H-18,20-ETHANO-12,14-ETHENO-6,10-METHENOBENZ[D]IMIDAZO[4,3-L][1,6,9,13]OXATRIAZACYCLONOADECOSINE-9-CARBONITRILE	C27 H27 N5 O2
U49	1	(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRIAZA-CYCLOOCTADECOSINE-9-CARBONITRILE	C26 H21 N5 O2
FPI	1	N-FORMYLPIPERIDINE	C6 H11 N O
R36	1	4-AMINO-N-{4-[2-(2,6-DIMETHYL-PHENOXY)-ACETYLAMINO]-3-HYDROXY-1-ISOBUTYL-5-PHENYL-PENTYL}-BENZAMIDE	C32 H41 N3 O4
P11	1	IMIDAZOLE-PYRROLE-BETA ALANINE-IMIDAZOLE-BETA ALANINE-IMIDAZOLE-PYRROLE-BETA ALANINE-DIMETHYLAMINO PROPYLAMIDE	C41 H56 N17 O8 1
CLI	1	3-(2-CARBOXY-ETHYL)-4,6-DICHLORO-1H-INDOLE-2-CARBOXYLIC ACID	C12 H9 CL2 N O4
R37	1	3-AMINO-N-{4-[2-(2,6-DIMETHYL-PHENOXY)-ACETYLAMINO]-3-HYDROXY-1-ISOBUTYL-5-PHENYL-PENTYL}-BENZAMIDE	C32 H41 N3 O4
EH5	1	N-(1-BENZYL-3-{[3-(1,3-DIOXO-1,3-DIHYDRO-ISOINDOL-2-YL)-PROPIONYL]-[2-(HEXAHYDRO-BENZO[1,3]DIOXOL-5-YL)-ETHYL]-AMINO}-2-HYDROXY-PROPYL)-4-BENZYLOXY-3,5-DIMETHOXY-BENZAMIDE	C46 H51 N3 O10
BEO	1	BUTENOIC ACID	C4 H6 O2
LYC	1	LYCOPENE	C40 H56
BP3	1	2'-CHLORO-BIPHENYL-2,3-DIOL	C12 H9 CL O2
1AN	1	2-FLUOROANILINE	C6 H6 F N
5AN	1	3,5-DIFLUOROANILINE	C6 H5 F2 N
E8U	1	(4R)-4-OXIDANYL-2-OXIDANYLIDENE-HEPTANEDIOIC ACID	C7 H10 O6
DP7	1	AC-(D)PHE-PRO-BOROARG-OH	C21 H33 B N6 O5
DI2	1	AC-(D)PHE-PRO-BOROLYS-OH	C21 H33 B N4 O5
DI3	1	AC-(D)PHE-PRO-BORO-N-BUTYL-AMIDINO-GLYCINE-OH	C22 H34 B N5 O5
DI4	1	AC-(D)PHE-PRO-BOROHOMOLYS-OH	C22 H35 B N4 O5
DI5	1	AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH	C20 H31 B N4 O5
AON	1	5-ALPHA-ANDROSTANE-3-BETA,17-ALPHA-DIOL	C19 H32 O2
ESM	1	1,3,5(10)-ESTRATRIEN-2,3,17-BETA-TRIOL 2-METHYL ETHER	C19 H26 O3
3CH	1	3-CHLOROPHENOL	C6 H5 CL O
NOC	1	3-(6-AMINO-PURIN-9-YL)-5-HYDROXYMETHYL-CYCLOPENTANE-1,2-DIOL	C11 H15 N5 O3
5MP	1	5-METHYLPYRROLE	C5 H7 N
RPP	1	2-RIBOFURANOSYL-3-IODO-2,3-DIHYDRO-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-YLAMINE	C10 H14 I N5 O4
HDI	1	3-(4-HYDROXYPHENYL)-4,5-DIHYDRO-5-ISOXAZOLE-ACETIC ACID METHYL ESTER	C12 H13 N O4
BP6	1	2',6'-DICHLORO-BIPHENYL-2,6-DIOL	C12 H8 CL2 O2
PCN	1	2-{1-[2-(2-AMINO-THIAZOL-4-YL)-2-METHOXYIMINO-ACETYLAMINO]-2-OXO-ETHYL}-5,5-DIMETHYL-THIAZOLIDINE-4-CARBOXYLIC ACID	C14 H19 N5 O5 S2
F23	1	TRICOSANOIC ACID	C23 H46 O2
FNG	1	5-AMINOCARBONYL-3-NITROPHENYL-ALPHA-D-GALACTOPYRANOSE	C13 H16 N2 O9
LNQ	1	3-AMINO-4-{3-[2-(2-PROPOXY-ETHOXY)-ETHOXY]-PROPYLAMINO}-CYCLOBUT-3-ENE-1,2-DIONE	C14 H24 N2 O5
DTX	1	DIGITOXIGENIN	C23 H34 O4
BC1	1	3-{[(9-CYANO-9,10-DIHYDRO-10-METHYLACRIDIN-9-YL)CARBONYL]AMINO}PROPANOIC ACID	C19 H17 N3 O3
OX1	1	[2'-CARBOXYLETHYL]-10-METHYL-ANTHRACENE ENDOPEROXIDE	C18 H16 O4
AN1	1	3-(10-METHYL-ANTHRACEN-9-YL)-PROPIONIC ACID	C18 H16 O2
MDP	1	N-CARBOXY-N-METHYL-MURAMIC ACID	C11 H19 N O9
MUP	1	METHOXYUNDECYLPHOSPHINIC ACID	C12 H27 O3 P
CBB	1	1-(3-CARBAMIMIDOYL-BENZYL)-1H-INDOLE-2-CARBOXYLIC ACID 3-CARBAMIMIDOYL-BENZYLESTER	C25 H31 N5 O2
MPA	1	(1R)-MENTHYL HEXYL PHOSPHONATE GROUP	C16 H33 O3 P
DSC	1	DODECANESULFONATE ION	C12 H25 O3 S -1
MPC	1	(1S)-MENTHYL HEXYL PHOSPHONATE GROUP	C16 H33 O3 P
CMB	1	1-(3-CARBAMIMIDOYLBENZYL)-N-(3,5-DICHLOROBENZYL)-4-METHYL-1H-INDOLE-2-CARBOXAMIDE	C25 H22 CL2 N4 O
CMI	1	1-(3-CARBAMIMIDOYL-BENZYL)-4-METHYL-1H-INDOLE-2-CARBOXYLIC ACID 3,5-DIMETHYL-BENZYLAMIDE	C27 H28 N4 O
BGD	1	N-BENZOYL-L-GLUTAMYL-[4-PHOSPHONO(DIFLUOROMETHYL)]-L-PHENYLALANINE-[4-PHOSPHONO(DIFLUORO-METHYL)]-L-PHENYLALANINEAMIDE	C32 H34 F4 N4 O12 P2
6M1	1	2-AMINO-6-METHYLBENZOIC ACID	C8 H9 N O2
XX9	1	N-BENZYL-N-(3-TERT-BUTYL-4-HYDROXYPHENYL)-2,6-DICHLORO-4-(DIMETHYLAMINO)BENZAMIDE	C26 H28 CL2 N2 O2
PLD	1	DIUNDECYL PHOSPHATIDYL CHOLINE	C50 H101 N O8 P 1
UPL	1	UNKNOWN BRANCHED FRAGMENT OF PHOSPHOLIPID	C34 H70
YJA	1	2-[5-[[7-[3-[ETHYL(2-HYDROXYETHYL)AMINO]PROPOXY]QUINAZOLIN-4-YL]AMINO]-1H-PYRAZOL-3-YL]-N-(3-FLUOROPHENYL)ETHANAMIDE	C26 H30 F N7 O3
CBH	1	S-(D-CARBOXYBUTYL)-L-HOMOCYSTEINE	C9 H17 N O4 S
LPT	1	CIS-(AMMINE)(CYCLOHEXYLAMINE)PLATINUM(II) COMPLEX	C6 H16 N2 PT 2
3OE	1	4-(BENZYLOXY)-N-[(2S,3R)-3-HYDROXY-1-{[(2S)-1-{[(3-METHYLTHIOPHEN-2-YL)METHYL]AMINO}-1-OXO-4-PHENYLBUTAN-2-YL]AMINO}-1-OXOBUTAN-2-YL]BENZAMIDE	C34 H37 N3 O5 S
DOT	1	3'ANTHRANILOYL-2'-DEOXY-ADENOSINE-5'-TRIPHOSPHATE	C17 H21 N6 O13 P3
OEU	1	N-{(2S)-1-[(2-CHLOROBENZYL)AMINO]-1-OXO-4-PHENYLBUTAN-2-YL}-N~2~-[3-(2-METHYLPHENYL)PROPANOYL]-L-THREONINAMIDE	C31 H36 CL N3 O4
PMZ	1	1-[10-(3-DIMETHYLAMINO-PROPYL)-10H-PHENOTHIAZIN-2-YL]-ETHANONE	C19 H22 N2 O S
TYT	1	TYROSINE DERIVATIVE	C18 H20 N2 O4
TLP	1	3-HYDROXY-2-[(3-HYDROXY-2-METHYL-5-PHOSPHONOOXYMETHYL-PYRIDIN-4-YLMETHYL)-AMINO]-BUTYRIC ACID	C12 H19 N2 O8 P
ACG	1	MODIFIED ACARBOSE PENTASACCHARIDE	C31 H53 N O22
BRG	1	8-BROMOGUANINE	C5 H4 BR N5 O
AZD	1	3'-AZIDO-3'-DEOXYTHYMIDINE-5'-DIPHOSPHATE	C10 H15 N5 O10 P2
ZAM	1	3-[(ACETYL-METHYL-AMINO)-METHYL]-4-AMINO-N-METHYL-N-(1-METHYL-1H-INDOL-2-YLMETHYL)-BENZAMIDE	C22 H26 N4 O2
AYM	1	3-(6-AMINOPYRIDIN-3-YL)-N-METHYL-N-[(1-METHYL-1H-INDOL-2-YL)METHYL]ACRYLAMIDE	C19 H20 N4 O
COG	1	2,4-DIAMINO-6-[N-(2',5'-DIMETHOXYBENZYL)-N-METHYLAMINO]QUINAZOLINE	C18 H21 N5 O2
COQ	1	2,4-DIAMINO-6-[N-(3',5'-DIMETHOXYBENZYL)-N-METHYLAMINO]PYRIDO[2,3-D]PYRIMIDINE	C17 H20 N6 O2
0MR	1	N-[4-CHLORANYL-5-[4-[[3-(2-METHOXYPHENYL)-5-METHYL-1,2-OXAZOL-4-YL]CARBONYL]PIPERAZIN-1-YL]-2-NITRO-PHENYL]PYRIDINE-2-CARBOXAMIDE	C28 H25 CL N6 O6
IHG	1	N-ISOPROPYL-N'-HYDROXYGUANIDINE	C4 H11 N3 O
BHH	1	N-BUTYL-N'-HYDROXYGUANIDINE	C5 H13 N3 O
XO3	1	5-[(2R,4S)-2-(PHENYLMETHYL)PIPERIDIN-4-YL]-1,2-OXAZOL-3-ONE	C15 H18 N2 O2
HCP	1	1-[((1E)-{3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYLENE)AMINO]CYCLOPENTYLPHOSPHONIC ACID	C13 H20 N2 O8 P2
MPM	1	(1R)-1-[((1E)-{3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYLENE)AMINO]-1-METHYLPROPYLPHOSPHONIC ACID	C12 H20 N2 O8 P2
ELP	1	(1R)-1-[((1E)-{3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYLENE)AMINO]-1-PHENYLETHYLPHOSPHONIC ACID	C16 H20 N2 O8 P2
HYF	1	4-HYDROXY-5-ISOBUTYRYL-6-METHYL-1,3,7-TRIS-(3-METHYL-BUT-2-ENYL)-6-(4-METHYL-PENT-3-ENYL)-BICYCLO[3.3.1]NON-3-ENE-2,9-DIONE	C35 H52 O4
I93	1	4-(2-CHLORO-6-FLUORO-3-METHYLPHENYL)-2,4-DIOXOBUTANOIC ACID	C11 H8 CL F O4
HNA	1	1,8-DI-HYDROXY-4-NITRO-ANTHRAQUINONE	C14 H7 N O6
MNX	1	1,8-DI-HYDROXY-4-NITRO-XANTHEN-9-ONE	C13 H7 N O6
MNY	1	5,8-DI-AMINO-1,4-DIHYDROXY-ANTHRAQUINONE	C14 H10 N2 O4
DDX	1	2',3'-DEHYDRO-2',3'-DIDEOXYRIBOFURANOSE-5'-PHOSPHATE	C5 H9 O6 P
DRZ	1	3',4'-DIHYDROXY-PENTANAL-5'-PHOSPHATE	C5 H11 O7 P
KPL	1	KETOPANTOATE	C6 H10 O4
FRG	1	2-[3-METHYL-4-(N-METHYL-GUANIDINO)-BUTYRYLAMINO]-3-(4-PHENYLETHYNYL-PHENYL)-PROPIONIC ACID METHYL ESTER	C26 H30 N4 O3
CMM	1	2-[2-(1-CARBAMIMIDOYL-PIPERIDIN-3-YL)-ACETYLAMINO]-3-{4-[2-(3-OXALYL-1H-INDOL-7-YL)ETHYL]-PHENYL}-PROPIONIC ACID METHYL ESTER	C30 H35 N5 O6
MPE	1	(1H-INDOL-3-YL)-(2-MERCAPTO-ETHOXYIMINO)-ACETIC ACID	C12 H14 N2 O3 S
NMP	1	2-[2-(2-CYCLOHEXYL-2-GUANIDINO-ACETYLAMINO)-ACETYLAMINO]-N-(3-MERCAPTO-PROPYL)-PROPIONAMIDE	C17 H32 N6 O3 S
AAD	1	(2-AMINOOXY-ETHYL)-[5-(6-AMINO-PURIN-9-YL)-3,4-DIHYDROXY-TETRAHYDRO-FURAN-2-YLMETHYL]-METHYL-SULFONIUM	C13 H21 N6 O4 S 1
CY4	1	S-BUTYRYL-CYSTEIN	C7 H13 N O3 S
TSX	1	N-[4-(1-ALLYL-3-BUTYL-2,6-DIOXO-2,3,6,7-TETRAHYDRO-1H-PURIN-8-YLMETHYL)-PHENYL]-ACETAMIDE	C21 H25 N5 O3
P17	1	6-(2,6-DICHLORO-PHENYL)-8-METHYL-2-(3-METHYLSULFANYL-PHENYLAMINO)-8H-PYRIDO[2,3-D]PYRIMIDIN-7-ONE	C21 H16 CL2 N4 O S
BN1	1	(S)-2-AMINO-3-[3-HYDROXY-5-(2-METHYL-2H-TETRAZOL-5-YL)ISOXAZOL-4-YL]PROPIONIC ACID	C8 H10 N6 O4
5CG	1	5'-CHLORO-5'-DEOXY-GUANOSINE	C10 H12 CL N5 O4
HES	1	ZINC SUBSTITUTED HEME C	C34 H34 N4 O4 ZN
BOA	1	2-BROMO-6-HYDROXY-PURINE	C5 H3 BR N4 O
DAX	1	5-BROMO-N[2-(DIMETHYLAMINO)ETHYL]-9-AMINOACRIDINE-4-CARBOXAMIDE	C18 H21 BR N4 O 2
12H	1	12-HYDROXYDODECANOIC ACID	C12 H24 O3
CLZ	1	5-CHLORYL-2,4,6-QUINAZOLINETRIAMINE	C8 H8 CL N5 O2
MQ1	1	5-(4-METHOXYPHENOXY)-2,4-QUINAZOLINEDIAMINE	C15 H14 N4 O2
MQU	1	7-[2-METHOXY-1-(METHOXYMETHYL)ETHYL]-7H-PYRROLO[3,2-F] QUINAZOLINE-1,3-DIAMINE	C15 H19 N5 O2
RAE	1	2-DEOXY-ALPHA-RHAMNOSE	C6 H12 O4
AV2	1	ADENOSINE-5'-DIPHOSPHATE-2',3'-VANADATE	C10 H14 N5 O12 P2 V
RAO	1	1-O-METHYL-ALPHA-RHAMNOSE	C7 H14 O5
DQO	1	1-(2,6-DICHLOROPHENYL)-5-(2,4-DIFLUOROPHENYL)-7-PIPERAZIN-1-YL-3,4-DIHYDROQUINAZOLIN-2(1H)-ONE	C24 H20 CL2 F2 N4 O
HEQ	1	3-[18-(4-HYDROXY-2,6,6-TRIMETHYL-CYCLOHEX-1-ENYL)-3,7,12,16-TETRAMETHYL-OCTADECA-1,3,5,7,9,11,13,15, 17-NONAENYL]-2,4,4-TRIMETHYL-CYCLOHEX-2-ENONE	C40 H54 O2
IBG	1	GAMMA-GLUTAMYL[S-(2-IODOBENZYL)CYSTEINYL]GLYCINE	C17 H22 I N3 O6 S
EEB	1	URIDINE-DIPHOSPHATE-3(N-ACETYLGLUCOSAMINYL)BUTYRIC ACID	C21 H33 N3 O19 P2
IOT	1	ARGININE-N-METHYLCARBONYL PHOSPHORIC ACID 5'-ADENOSINE ESTER	C18 H28 N9 O10 P
ZRO	1	2,6-DIOXO-5-{2-[4-(TRIFLUOROMETHYL)PHENYL]ETHYL}-1,2,3,6-TETRAHYDROPYRIMIDINE-4-CARBOXYLIC ACID	C14 H11 F3 N2 O4
233	1	[5-(3,4,5-TRIHYDROXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-2-YLCARBAMOYL)-PENTYL]-CARBAMIC ACID METHYL ESTER	C14 H26 N2 O8
SQ	1	3-ETHYLAMINO-4-METHYLAMINO-CYCLOBUTANE-1,2-DIONE	C7 H12 N2 O2
P10	1	[1-(3-HYDROXY-2-OXO-1-PHENETHYL-PROPYLCARBAMOYL)2-PHENYL-ETHYL]-CARBAMIC ACID PYRIDIN-4-YLMETHYL ESTER	C27 H29 N3 O5
T10	1	[1-(1-BENZYL-3-HYDROXY-2-OXO-PROPYLCARBAMOYL)-2-PHENYL-ETHYL]-CARBAMIC ACID BENZYL ESTER	C27 H28 N2 O5
IVS	1	3-HYDROXY-6-METHYL-4-(3-METHYL-2-(3-METHYL-2-(3-METHYL-BUTYRYLAMINO)-BUTYRYLAMINO)-BUTYRYLAMINO)-HEPTANOIC ACID ETHYL ESTER	C25 H47 N3 O6
1GZ	1	METHYLTHIOACRYLOYL-COA	C25 H40 N7 O17 P3 S2
RAC	1	4-(2-DIMETHYLCARBAMOYL-PHENYLCARBAMOYLOXYMETHYL)-BENZOIC ACID	C18 H18 N2 O5
BS3	1	BISMUTH(III) ION	BI 3
IDN	1	(E)-N-METHYL-N-(1-METHYL-1H-INDOL-3-YLMETHYL)-3-(7-OXO-5,6,7,8-TETRAHYDRO-[1,8]NAPHTHYRIDIN-3-YL)-ACRYLAMIDE	C22 H22 N4 O2
C36	1	5-METHYL-5-FLUORO-2'-DEOXY-CYTIDINE-5'-MONOPHOSPHATE	C10 H17 F N3 O8 P
LAP	1	[2-((1-OXODODECANOXY-(2-HYDROXY-3-PROPANYL))-PHOSPHONATE-OXY)-ETHYL]-TRIMETHYLAMMONIUM	C20 H43 N O7 P 1
PNO	1	P-METHYL AMINOPHOSPHINIC ACID	C H6 N O2 P
DAC	1	2-DECENOYL N-ACETYL CYSTEAMINE	C14 H25 N O2 S
ZEM	1	20-OXO-PROTOPORPHYRIN IX CONTAINING ZN(II)	C34 H32 N4 O5 ZN
CYX	1	(3-FORMYL-BUT-3-ENYL)-PHOSPHONIC ACID	C5 H9 O4 P
SMT	1	2'-[(METHYLTHIO)ETHYLOXY]-THYMIDINE-5'-MONOPHOSPHATE	C13 H21 N2 O9 P S
ACZ	1	CIS-AMICLENOMYCIN	C10 H16 N2 O2
TZA	1	TRANS-AMICLENOMYCIN	C10 H16 N2 O2
FR1	1	2-[4-[[(S)-1-[[(S)-2-[[(RS)-3,3,3-TRIFLUORO-1-ISOPROPYL-2-OXOPROPYL]AMINOCARBONYL]PYRROLIDIN-1-YL-]CARBONYL]-2-METHYLPROPYL]AMINOCARBONYL]BENZOYLAMINO]ACETIC ACID	C26 H33 F3 N4 O7
RSS	1	5-METHYL-3-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YLCARBAMOYL)-HEXANOIC ACID	C25 H35 N3 O4
RRS	1	N4-HYDROXY-2-ISOBUTYL-N1-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YL)-SUCCINAMIDE	C25 H36 N4 O4
SRS	1	4-METHYL-3-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.0(13,18)]NONADECA-12(19),13(18),15,17-TETRAENE-10-CARBAMOYL)PENTA-METHYLSULFONEDIIMINE	C25 H39 N5 O2 S
VIO	1	N5-(1-IMINO-3-BUTENYL)-L-ORNITHINE	C9 H20 N3 O2 1
ABT	1	3'-AZIDO-3'-DEOXY-THYMIDINE-5'-ALPHA BORANO TRIPHOSPHATE	C10 H17 B N5 O12 P3
HDM	1	DIMETHYL PROPIONATE ESTER HEME	C36 H36 FE N4 O4
NCG	1	[(R)-4-((1,3-DIOXOLANE-2-OXY)-4-(S)-YL)-4-HYDROXY]-(R)-10-(2-METHYLAMINO-5-METHYL-2,6-DIDEOXYGALACTOPYRANOSYL-OXY)-(R)-11-(2-HYDROXY-5-METHYL-7-METHOXY-1-NAPHTHOYL-OXY)-(R)-12-S-GLUTATHIONYL-4,10,11,12-TETRAHYDROINDACENE	C45 H52 N4 O18 S
RE1	1	GLYCYL-L-A-AMINOPIMELYL-E-(D-2-AMINOETHYL)PHOSPHONATE	C11 H21 N3 O7 P -1
BRD	1	1-BETA-RIBOFURANOSYL-1,3-DIAZEPINONE	C10 H14 N2 O5
XLC	1	3-CHLORO-N-[4-CHLORO-2-[[(4-CHLOROPHENYL)AMINO]CARBONYL]PHENYL]-4-[(4-METHYL-1-PIPERAZINYL)METHYL]-2-THIOPHENECARBOXAMIDE	C24 H23 CL3 N4 O2 S
XLD	1	3-CHLORO-N-[4-CHLORO-2-[[(5-CHLORO-2-PYRIDINYL)AMINO]CARBONYL]-6-METHOXYPHENYL]-4-[[(4,5-DIHYDRO-2-OXAZOLYL)METHYLAMINO]METHYL]-2-THIOPHENECARBOXAMIDE	C23 H20 CL3 N5 O4 S
HWD	1	2-AMINO-3-(2,4-DIOXO-3,4-DIHYDRO-2H-PYRIMIDIN-1-YL)-PROPIONIC ACID	C7 H9 N3 O4
040	1	4-(2-METHYLPHENYL)-2,4-DIOXOBUTANOIC ACID	C11 H10 O4
IDP	1	INOSINE-5'-DIPHOSPHATE	C10 H14 N4 O11 P2
BLN	1	MORPHOLINE-4-CARBOXYLIC ACID [1S-(2-BENZYLOXY-1R-CYANO-ETHYLCARBAMOYL)-3-METHYL-BUTYL]AMIDE	C21 H30 N4 O4
L8G	1	(5R,8S,11S)-5-METHYL-8-(PROPAN-2-YL)-11-[(1E)-4-SULFANYLBUT-1-EN-1-YL]-3-THIA-7,10,14,20,21-PENTAAZATRICYCLO[14.3.1.1~2,5~]HENICOSA-1(20),2(21),16,18-TETRAENE-6,9,13-TRIONE	C23 H31 N5 O3 S2
0YR	1	(2R,3R,4R)-N,2,3,4,5-PENTAKIS(OXIDANYL)PENTANAMIDE	C5 H11 N O6
S0C	1	2-CYCLOPENTYL-N-(1,3-THIAZOL-2-YL)ACETAMIDE	C10 H14 N2 O S
S0A	1	1-[(1R)-1-CYCLOPROPYLETHYL]-3-PHENYLUREA	C12 H16 N2 O
PCO	1	2,4-DIHYDROXY-N-[2-(2-MERCAPTO-VINYLCARBAMOYL)-ETHYL]-3,3-DIMETHYL-BUTYRAMIDE	C11 H20 N2 O4 S
NLX	1	(5A,17R)-4,5-EPOXY-3,14-DIHYDROXY-17-METHYL-6-OXO-17-(2-PROPENYL)-MORPHINANIUM	C20 H24 N O4 1
ABP	1	8-BROMOADENOSINE-5'-DIPHOSPHATE	C10 H14 BR N5 O10 P2
BZR	1	1S,2R,3S,4R-TETRAHYDRO-BENZO[A]ANTHRACENE-2,3,4-TRIOL	C18 H16 O3
BNE	1	2-[3-(3-ETHYL-1-METHYL-2-OXO-AZEPAN-3-YL)-PHENOXY]-4-[1-AMINO-1-(1-METHYL-1H-IMIDIZOL-5-YL)-ETHYL]-BENZONITRILE	C28 H33 N5 O2
