pdbid
3dnl
3dnn
3dno
3dny
3dtp
3dwu
3dww
3egf
3ep2
3epc
3eq3
3eq4
3eza
3ezb
3eze
3ezk
3fhp
3fi1
3foh
3foi
3g37
3gat
3gau
3gb1
3gbq
3gcc
3gf1
3grx
3gzt
3gzu
3h3w
3h3y
3hgn
3hqv
3hr2
3hsf
3hya
3ifb
3ifm
3ifx
3iku
3iky
3ins
3iri
3irj
3irk
3irl
3j6q
3ixz
3jci
3ixx
3ixy
3iy0
3iy1
3iy2
3iy3
3iy4
3iy5
3iy6
3iy7
3iy8
3iya
3iyd
3iyf
3iyg
3iyh
3iyi
3iyj
3iyk
3iym
3iyn
3iyo
3iyp
3iyq
3iyr
3iys
3iyw
3iyx
3iyy
3iyz
3iz1
3iz2
3iz3
3iz4
3izd
3izg
3izh
3izi
3izj
3izk
3izl
3izm
3izn
3izo
3izp
3j02
3izq
3izx
3izy
3izz
3j03
3j04
3j05
3j06
3j08
3j09
3j0a
3j0f
3j0b
3j0c
3j0d
3j0e
3j0g
3j0h
3j0i
3j0j
3j1c
3j0k
3j0l
3j0o
3j0p
3j0r
3j15
3j16
3j17
3j1a
3j1b
3j1e
3j1f
3j1n
3j1o
3j1p
3j1q
3j1r
3j1s
3j1v
3j1w
3j1x
3j1z
3j22
3j23
3j24
3j25
3j26
3j27
3j28
3j29
3j2a
3j2b
3j2c
3j2d
3j2e
3j2f
3j2g
3j2h
3j2i
3j2m
3j2n
3j2o
3j2p
3j2t
3j2v
3j2w
3j2x
3j2y
3j2z
3j30
3j31
3j32
3j34
3j35
3j3i
3j3r
3j3s
3j3t
3j3u
3j3x
3j3z
3j40
3j41
3j48
3j47
3j4a
3j4b
3j4f
3j4j
3j4k
3j4p
3j4s
3j4t
3j4u
3j5m
3j5p
3j5q
3j5r
3j5s
3j5v
3j5y
3j63
3j6d
3j6e
3j6h
3j6l
3j6m
3j6n
3j6o
3j6r
3j6s
3j6u
3j7b
3j7e
3j7g
3j7i
3j7l
3j7m
3j7n
3j7t
3j7v
3j7w
3j7x
3j82
3j83
3j89
3j8a
3j8b
3j8c
3j8d
3j8f
3j8h
3j8i
3j8j
3j8k
3j8v
3j8w
3j8z
3j91
3j92
3j93
3j94
3j95
3j9a
3j9b
3j9c
3j9d
3j9e
3j9g
3j9i
3j9j
3j9l
3j9o
3j9p
3j9q
3j9r
3j9s
3j9x
3ja4
3ja5
3ja6
3ja7
3jaa
3jac
3jab
3jad
3jae
3jaf
3jaj
3jal
3jan
3jau
3jaw
3jax
3jay
3jaz
