attribute,importance
part_00_density_E3_E1,0.0513259910269
delta_electrons_2,0.0285048964079
delta_electrons_1,0.0283992778092
local_near_cut_count_N,0.0274094802553
shape_segments_count_over_volume_00,0.0268765414751
delta_volume_1,0.023464146252
part_00_density_O3_norm,0.0223691509601
part_00_density_sqrt_E2,0.0223531600836
part_00_density_sqrt_E1,0.0220320706055
volume_over_resolution_00,0.0213448431739
local_near_cut_count_C,0.0212796840144
part_00_shape_sqrt_E1,0.0212088492987
part_00_density_sqrt_E3,0.0199030893275
delta_density_sqrt_E1_1,0.019233432906
part_00_density_E3_E2,0.0191996385005
part_00_density_Z_6_0,0.0188056035069
part_00_density_E2_E1,0.0182036611012
part_00_shape_sqrt_E3,0.0179776596886
delta_skewness_1,0.0175992318484
part_00_shape_E2_E1,0.0173778878453
local_near_cut_count_O,0.0168164024433
delta_volume_2,0.0165844736911
part_00_density_Z_7_0,0.016236698205
delta_std_1,0.0161132205616
delta_density_sqrt_E2_1,0.0159445717247
delta_density_sqrt_E3_1,0.0158861336349
part_00_density_Z_5_0,0.0155638325072
part_00_shape_Z_4_0,0.0155234732415
delta_std_2,0.0153977209923
part_00_shape_O5_norm,0.0152609194996
percent_cut,0.0150029007844
part_00_density_I4_norm,0.0149457828799
part_00_density_CI,0.0148364712646
part_00_shape_Z_1_0,0.0146555516875
delta_skewness_2,0.0146522944485
part_00_shape_CI,0.0146287658517
part_00_density_O4_norm,0.0145388189109
local_mean,0.0145386074003
part_00_density_Z_3_0,0.0142770054497
local_electrons,0.014208027721
part_00_volume,0.0141881879535
part_00_electrons,0.0141696117416
part_00_shape_Z_3_1,0.0140641515765
part_00_shape_Z_4_2,0.0135279635109
part_00_density_I5_norm,0.0132851911797
part_00_shape_Z_2_0,0.0127693355891
electrons_over_resolution_00,0.0119055094349
std_over_resolution_00,0.0117948842533
delta_shape_segments_count_2,0.0117836427726
part_00_shape_Z_2_1,0.0116223180665
local_cut_by_mainchain_volume,0.0114399650759
part_00_density_I2_norm,0.0113170280628
resolution,0.0112812946485
skewness_over_volume_00,0.0111043943981
part_00_mean,0.00995278209079
delta_mean_2,0.0098426991614
part_00_density_I6,0.0097892352408
delta_mean_1,0.00972466366427
std_over_volume_01,0.00960081956234
part_00_shape_FL,0.00635635302979
