attribute,importance
part_00_density_E3_E1,0.0515564737409
delta_electrons_2,0.0281412474179
delta_electrons_1,0.0277437208345
local_near_cut_count_N,0.0274210118169
shape_segments_count_over_volume_00,0.0264319886548
delta_volume_1,0.0231172498168
part_00_density_O3_norm,0.0225135657719
part_00_density_sqrt_E1,0.0224951233351
part_00_density_sqrt_E2,0.0221183391075
volume_over_resolution_00,0.0212575964604
part_00_shape_sqrt_E1,0.0212298479552
local_near_cut_count_C,0.0211284524185
part_00_density_sqrt_E3,0.0198381221986
part_00_density_E3_E2,0.019580760784
delta_density_sqrt_E1_1,0.018966713115
part_00_density_Z_6_0,0.0183882315352
part_00_density_E2_E1,0.0183659924703
part_00_shape_sqrt_E3,0.0180978759008
delta_skewness_1,0.0175185339866
local_near_cut_count_O,0.0167912146929
part_00_shape_E2_E1,0.0167372394228
delta_std_1,0.0162679755402
delta_volume_2,0.0162452860586
part_00_density_Z_7_0,0.0160034717025
delta_density_sqrt_E2_1,0.0159006356902
part_00_electrons,0.015803829237
delta_density_sqrt_E3_1,0.0158003103914
part_00_density_Z_5_0,0.0157827953683
part_00_shape_Z_4_0,0.0156561448451
part_00_density_I4_norm,0.0152228841884
delta_std_2,0.0152143388502
delta_skewness_2,0.0150753664376
local_electrons,0.0149677272019
part_00_shape_O5_norm,0.0149216136274
part_00_density_CI,0.0147780879958
part_00_shape_CI,0.0146652558388
part_00_density_O4_norm,0.0146508236228
part_00_shape_Z_1_0,0.0146191648367
local_mean,0.0146043313866
part_00_density_Z_3_0,0.0145165988869
percent_cut,0.0143348268547
part_00_shape_Z_3_1,0.014080852442
part_00_volume,0.0138771276145
part_00_shape_Z_4_2,0.013371801532
part_00_density_I5_norm,0.0133693600818
part_00_shape_Z_2_0,0.0125142542884
part_00_shape_Z_2_1,0.0123420715982
electrons_over_resolution_00,0.0121095303085
local_cut_by_mainchain_volume,0.0119835119457
std_over_resolution_00,0.0119626113326
delta_shape_segments_count_2,0.0117330277762
resolution,0.0112291752944
part_00_density_I2_norm,0.0111521981669
skewness_over_volume_00,0.0110969277856
part_00_mean,0.00992952293352
delta_mean_2,0.00992924861001
delta_mean_1,0.00987692320658
std_over_volume_01,0.0095350426956
part_00_density_I6,0.00912658472792
part_00_shape_FL,0.00630945766169
