attribute,importance
part_00_density_E3_E1,0.0356544852257
local_near_cut_count_N,0.0305246505886
delta_electrons_1,0.0268039293587
delta_density_sqrt_E1_1,0.0266320984811
delta_volume_1,0.0236556250602
delta_density_sqrt_E2_1,0.0233871731907
part_00_density_E3_E2,0.0233307667077
local_near_cut_count_O,0.0231390912086
local_near_cut_count_C,0.0227306671441
delta_electrons_2,0.0223138872534
shape_segments_count_over_volume_00,0.0222553927451
part_00_density_sqrt_E2,0.0218971092254
resolution,0.0213126782328
local_mean,0.0209721513093
delta_density_sqrt_E3_1,0.0208217352629
part_00_shape_O5_norm,0.0198069438338
delta_std_1,0.0195463262498
part_00_density_Z_6_0,0.0182907655835
part_00_density_sqrt_E3,0.0171621181071
part_00_density_Z_7_0,0.0169323161244
part_00_shape_Z_1_0,0.0168581511825
part_00_density_O3_norm,0.0165050905198
std_over_resolution_00,0.0164450276643
part_00_shape_Z_4_0,0.0163296051323
part_00_density_E2_E1,0.0162272378802
part_00_shape_sqrt_E3,0.0161149483174
part_00_density_sqrt_E1,0.0158757437021
delta_std_2,0.0154876895249
part_00_shape_E2_E1,0.0154532184824
delta_skewness_2,0.0153879337013
volume_over_resolution_00,0.0151910344139
electrons_over_resolution_00,0.0151805886999
part_00_shape_Z_3_1,0.015022338368
part_00_density_I5_norm,0.0149309393018
delta_skewness_1,0.0149063915014
part_00_density_I6,0.0149043025449
part_00_density_I4_norm,0.0146603975445
part_00_shape_CI,0.0142744332552
delta_volume_2,0.0142138488591
part_00_density_Z_3_0,0.014116181992
part_00_mean,0.0137876681983
part_00_density_CI,0.0137401409447
part_00_density_Z_5_0,0.0135683109984
part_00_shape_FL,0.0133750671521
delta_shape_segments_count_2,0.0130914691836
percent_cut,0.013063788414
part_00_shape_sqrt_E1,0.0130387190729
skewness_over_volume_00,0.012767655775
part_00_density_O4_norm,0.0119309630245
part_00_shape_Z_4_2,0.0118479207158
delta_mean_2,0.011693325825
part_00_density_I2_norm,0.0114833693951
delta_mean_1,0.011417562142
part_00_shape_Z_2_0,0.0110906148329
part_00_volume,0.0107359867543
local_electrons,0.0105902701616
part_00_electrons,0.0104314973578
std_over_volume_01,0.0103270411491
part_00_shape_Z_2_1,0.00936865713447
local_cut_by_mainchain_volume,0.00739496154711
