attribute,importance
delta_electrons_1,0.0349756889045
delta_density_sqrt_E1_1,0.0296605378389
part_00_density_E3_E1,0.0294546559453
shape_segments_count_over_volume_00,0.0293585788459
part_00_density_E3_E2,0.0277218278497
local_near_cut_count_N,0.0248943995684
delta_density_sqrt_E3_1,0.0243093557656
part_00_shape_sqrt_E3,0.0240657310933
delta_density_sqrt_E2_1,0.0234772544354
delta_std_1,0.0219503063709
part_00_density_sqrt_E2,0.0213669780642
part_00_density_O3_norm,0.0208848752081
local_mean,0.0208334047347
delta_electrons_2,0.0199910104275
part_00_density_Z_6_0,0.0193716529757
local_near_cut_count_O,0.0192189570516
part_00_shape_O5_norm,0.0191966537386
std_over_resolution_00,0.0186973940581
delta_skewness_2,0.0184434745461
part_00_density_sqrt_E3,0.0183113664389
resolution,0.017808675766
delta_volume_1,0.0177383329719
delta_std_2,0.0175822060555
delta_skewness_1,0.0174209326506
part_00_shape_Z_4_0,0.0171447098255
part_00_mean,0.016907947138
part_00_density_Z_7_0,0.0167603995651
part_00_shape_Z_1_0,0.0167106445879
part_00_density_E2_E1,0.0158082023263
part_00_density_I5_norm,0.0157395750284
part_00_shape_E2_E1,0.0155062433332
skewness_over_volume_00,0.015314088203
part_00_density_sqrt_E1,0.0149675225839
part_00_density_Z_5_0,0.0149023272097
part_00_shape_CI,0.0147908078507
part_00_shape_Z_3_1,0.0147015927359
part_00_density_I4_norm,0.0146432602778
part_00_density_CI,0.0145677709952
part_00_density_Z_3_0,0.0142400776967
delta_shape_segments_count_2,0.0139501290396
part_00_shape_sqrt_E1,0.0138677768409
delta_mean_2,0.0137562574819
part_00_density_O4_norm,0.0137545419857
part_00_density_I2_norm,0.0135143483058
electrons_over_resolution_00,0.01302195061
local_near_cut_count_C,0.0128846969455
delta_mean_1,0.0128349419683
part_00_shape_FL,0.0126891098917
part_00_density_I6,0.0126256300136
std_over_volume_01,0.0119822528213
volume_over_resolution_00,0.0115567659959
delta_volume_2,0.0113251507282
part_00_shape_Z_4_2,0.0112119168043
part_00_shape_Z_2_0,0.00993202533573
part_00_electrons,0.00825581327081
part_00_shape_Z_2_1,0.00791782606393
part_00_volume,0.00791611056775
local_electrons,0.00790066923946
percent_cut,0.00615239981562
local_cut_by_mainchain_volume,0.00351026491262
