attribute,importance
part_00_density_E3_E1,0.0356406420469
delta_density_sqrt_E1_1,0.026508230716
delta_electrons_1,0.0253768246621
delta_volume_1,0.0251658018678
local_near_cut_count_O,0.0236745756119
delta_density_sqrt_E2_1,0.0234018694609
delta_electrons_2,0.0232855360955
part_00_density_E3_E2,0.0231724493206
local_near_cut_count_C,0.0226151328534
part_00_density_sqrt_E2,0.0222715456039
shape_segments_count_over_volume_00,0.0221957936883
local_near_cut_count_N,0.021740199998
resolution,0.0216768942773
volume_over_resolution_00,0.0210324637592
local_mean,0.0208052080125
delta_density_sqrt_E3_1,0.0206715613604
part_00_shape_O5_norm,0.0195883102715
delta_std_1,0.0195298735052
part_00_density_Z_6_0,0.0180700309575
part_00_shape_Z_4_0,0.0174678042531
part_00_shape_sqrt_E3,0.017148565501
part_00_shape_Z_1_0,0.0168314892799
part_00_density_Z_7_0,0.0167633127421
std_over_resolution_00,0.0167303066701
part_00_density_O3_norm,0.0160112064332
part_00_density_sqrt_E3,0.0158678200096
part_00_shape_Z_3_1,0.0158586204052
delta_std_2,0.01574607566
part_00_shape_E2_E1,0.015606475994
electrons_over_resolution_00,0.0155020467937
part_00_density_E2_E1,0.015462548472
delta_skewness_2,0.015006955713
part_00_density_I6,0.0149939693511
delta_skewness_1,0.014873849228
part_00_density_I5_norm,0.0148424664512
part_00_density_sqrt_E1,0.0146146696061
part_00_shape_CI,0.0143127450719
part_00_density_Z_3_0,0.0142689179629
part_00_density_I4_norm,0.0142564726993
delta_volume_2,0.0141688166186
part_00_mean,0.0141347283497
part_00_density_CI,0.014022724703
part_00_density_Z_5_0,0.0139020625502
part_00_shape_FL,0.0135146472603
delta_shape_segments_count_2,0.0131337242201
skewness_over_volume_00,0.0130812386051
percent_cut,0.0129795148969
part_00_shape_sqrt_E1,0.0124660264701
part_00_density_I2_norm,0.0120921377093
delta_mean_2,0.0119471270591
part_00_density_O4_norm,0.0119292717427
part_00_shape_Z_4_2,0.0117734400555
part_00_shape_Z_2_0,0.0115126371384
delta_mean_1,0.0113200116903
part_00_volume,0.010799488984
local_electrons,0.0107286069542
std_over_volume_01,0.0103866420686
part_00_electrons,0.0101182647049
part_00_shape_Z_2_1,0.00979740172625
local_cut_by_mainchain_volume,0.00760222552344
