attribute,importance
part_00_density_E3_E1,0.0517583652536
delta_electrons_1,0.0299797570862
shape_segments_count_over_volume_00,0.0268598482478
local_near_cut_count_N,0.0264212594587
delta_electrons_2,0.0256764114994
delta_volume_1,0.0236229710088
part_00_density_sqrt_E2,0.0226661536777
part_00_density_sqrt_E1,0.0221477629664
part_00_density_O3_norm,0.022040098883
part_00_shape_sqrt_E1,0.0218372513931
local_near_cut_count_C,0.021094347923
part_00_density_sqrt_E3,0.0201997161269
part_00_density_E3_E2,0.0195344836045
volume_over_resolution_00,0.0194792871931
delta_density_sqrt_E1_1,0.0192690436636
part_00_shape_sqrt_E3,0.0186247496947
delta_volume_2,0.0185560579036
part_00_density_Z_6_0,0.0185203400261
part_00_density_E2_E1,0.01789021226
part_00_shape_E2_E1,0.017248495286
local_near_cut_count_O,0.0169933496518
delta_skewness_1,0.0168742018246
delta_std_1,0.0165013301603
delta_density_sqrt_E2_1,0.0159030746874
part_00_density_Z_7_0,0.0158389760701
delta_density_sqrt_E3_1,0.0156638942104
part_00_shape_Z_4_0,0.0155558741845
part_00_density_Z_5_0,0.0155428697908
delta_skewness_2,0.0153202726607
delta_std_2,0.0152490411254
percent_cut,0.015208350688
part_00_shape_O5_norm,0.0151211127295
part_00_volume,0.0149500192327
part_00_density_I4_norm,0.0147560996201
part_00_density_CI,0.014689740227
local_mean,0.0146444227988
part_00_shape_Z_1_0,0.0145774697445
part_00_shape_CI,0.0145209674956
part_00_electrons,0.0143631605197
part_00_density_O4_norm,0.0142977497328
part_00_density_Z_3_0,0.0141926228459
local_electrons,0.0140335948451
part_00_shape_Z_3_1,0.0139904378975
part_00_shape_Z_4_2,0.013984563604
part_00_shape_Z_2_0,0.013298359682
part_00_density_I5_norm,0.0128869618192
electrons_over_resolution_00,0.0121248764776
local_cut_by_mainchain_volume,0.0118437057121
std_over_resolution_00,0.0117253611245
delta_shape_segments_count_2,0.0116537183493
part_00_shape_Z_2_1,0.0116393867057
part_00_density_I2_norm,0.0111903701847
resolution,0.0111699149802
skewness_over_volume_00,0.0110973900867
part_00_mean,0.0100688130304
delta_mean_2,0.00988993998909
part_00_density_I6,0.00981359248589
delta_mean_1,0.00978508315191
std_over_volume_01,0.00952943348282
part_00_shape_FL,0.00608328323481
