attribute,importance
delta_electrons_1,0.0400129382323
local_near_cut_count_C,0.0271447207234
delta_electrons_2,0.0266987756076
local_near_cut_count_N,0.0260859683418
delta_volume_1,0.0252890654996
part_00_shape_sqrt_E1,0.0238655447891
local_near_cut_count_O,0.021946545985
part_00_density_sqrt_E1,0.0209379979412
delta_skewness_1,0.0209270544987
percent_cut,0.0199655494094
std_over_resolution_00,0.0197705468046
part_00_density_E3_E2,0.0194764907385
part_00_density_sqrt_E2,0.0191710247819
part_00_density_E2_E1,0.0190984832314
delta_std_1,0.0184837583648
delta_density_sqrt_E1_1,0.0181585865093
part_00_shape_E2_E1,0.018129172285
part_00_density_E3_E1,0.0179246912931
part_00_density_Z_6_0,0.0178576912494
delta_std_2,0.017848340973
volume_over_resolution_00,0.0175961052238
part_00_density_O3_norm,0.0170253830786
part_00_density_sqrt_E3,0.0166980563696
delta_density_sqrt_E3_1,0.0166202414731
resolution,0.0164175358983
part_00_density_Z_7_0,0.0163662686277
delta_density_sqrt_E2_1,0.0160449719869
part_00_density_I4_norm,0.0159932025905
delta_skewness_2,0.0158634294408
part_00_shape_sqrt_E3,0.0158284683536
part_00_density_CI,0.0156255985505
part_00_shape_O5_norm,0.0154631412097
local_mean,0.0153981456327
part_00_shape_CI,0.0153733520292
part_00_density_Z_5_0,0.0153549991744
part_00_electrons,0.0151007866388
part_00_density_O4_norm,0.0150852997515
shape_segments_count_over_volume_00,0.0150819223902
local_electrons,0.0150544324788
part_00_density_Z_3_0,0.0147480566779
part_00_shape_Z_1_0,0.0145014714668
part_00_shape_Z_4_0,0.0143742786349
part_00_density_I5_norm,0.0142541057781
part_00_shape_Z_3_1,0.013557980807
skewness_over_volume_00,0.0134183974065
local_cut_by_mainchain_volume,0.0132656995177
delta_volume_2,0.0131399597115
part_00_density_I6,0.0126088960719
part_00_density_I2_norm,0.0125448422843
part_00_mean,0.0125157381993
electrons_over_resolution_00,0.0124662383855
delta_shape_segments_count_2,0.012123484455
part_00_shape_Z_2_1,0.0120717683055
part_00_shape_Z_4_2,0.0119367038267
delta_mean_2,0.011529663727
delta_mean_1,0.0107273892709
part_00_shape_Z_2_0,0.0106184775268
part_00_volume,0.010598279846
std_over_volume_01,0.010209847265
part_00_shape_FL,0.00800443267776
