attribute,importance
delta_electrons_1,0.0285469032824
resolution,0.02655711025
delta_density_sqrt_E1_1,0.0261397324502
local_near_cut_count_C,0.0257735997438
delta_density_sqrt_E3_1,0.0245679896325
local_mean,0.0238566268235
delta_density_sqrt_E2_1,0.0229153353721
part_00_density_E3_E2,0.0227022636682
shape_segments_count_over_volume_00,0.0227002408355
delta_std_1,0.0214892365038
local_near_cut_count_O,0.0214838422835
local_near_cut_count_N,0.0212485194206
part_00_density_E3_E1,0.021224245429
part_00_density_sqrt_E2,0.0205762647092
std_over_resolution_00,0.0199593007565
part_00_mean,0.0196369960904
part_00_density_Z_6_0,0.01943943277
part_00_shape_O5_norm,0.0194171816111
delta_volume_1,0.0191508419812
delta_electrons_2,0.0185905173421
part_00_shape_Z_1_0,0.0184691455215
delta_skewness_1,0.0180996414274
delta_skewness_2,0.0179088208824
part_00_density_Z_7_0,0.0175588708371
delta_std_2,0.0171367730945
part_00_shape_Z_4_0,0.0167436692864
part_00_density_I5_norm,0.0160734374076
skewness_over_volume_00,0.0153101542965
part_00_shape_Z_3_1,0.0149413244799
part_00_shape_E2_E1,0.0149413244799
part_00_density_CI,0.0149413244799
part_00_density_Z_3_0,0.0149318845943
part_00_density_E2_E1,0.0148401828483
part_00_density_I4_norm,0.0148206287995
electrons_over_resolution_00,0.0147491553798
part_00_shape_CI,0.0146500365809
delta_mean_1,0.0146035114303
part_00_density_O3_norm,0.0145536148921
part_00_density_sqrt_E3,0.0145306894556
part_00_density_O4_norm,0.0144902328029
part_00_density_Z_5_0,0.0144733758643
part_00_shape_sqrt_E3,0.0141638815403
delta_shape_segments_count_2,0.0139764323831
delta_mean_2,0.0139103531837
volume_over_resolution_00,0.0133871138096
part_00_density_sqrt_E1,0.0132927149534
part_00_density_I2_norm,0.0132542811334
percent_cut,0.0131160542369
delta_volume_2,0.0128362290561
part_00_shape_FL,0.0127296932042
part_00_density_I6,0.0127249732614
part_00_shape_sqrt_E1,0.0125260604545
std_over_volume_01,0.0117310872301
local_electrons,0.0112982010469
part_00_shape_Z_2_0,0.0107358526438
part_00_shape_Z_4_2,0.0105720032007
part_00_electrons,0.0097547788173
part_00_volume,0.00923356134444
part_00_shape_Z_2_1,0.00824641902
local_cut_by_mainchain_volume,0.00776633294299
