attribute,importance
part_00_density_O3_norm,0.0629028628201
part_00_density_E3_E1,0.0611024316515
delta_electrons_2,0.0458265091638
delta_electrons_1,0.0294727287386
shape_segments_count_over_volume_00,0.027838618981
part_00_shape_sqrt_E1,0.0277208285931
delta_skewness_1,0.026610551977
part_00_density_sqrt_E2,0.024095777278
part_00_density_O4_norm,0.0240227296061
part_00_density_sqrt_E3,0.023033415305
local_near_cut_count_N,0.0229684093312
volume_over_resolution_00,0.0220774991699
part_00_density_sqrt_E1,0.0218361732347
local_electrons,0.0208823561047
part_00_shape_sqrt_E3,0.0203020765475
part_00_density_Z_6_0,0.0199208835806
delta_density_sqrt_E1_1,0.0197212484511
local_near_cut_count_O,0.0194061301604
delta_skewness_2,0.019386876321
part_00_density_E3_E2,0.0189430952417
part_00_electrons,0.0183912110263
part_00_density_E2_E1,0.0169688358874
delta_std_2,0.0164997813568
delta_std_1,0.0158263279739
part_00_density_I4_norm,0.0155769410456
part_00_shape_E2_E1,0.0150335742182
part_00_density_Z_7_0,0.0143884602073
part_00_density_Z_5_0,0.013933791457
delta_density_sqrt_E2_1,0.0136596020253
delta_volume_1,0.013648848393
delta_density_sqrt_E3_1,0.013197703571
part_00_shape_Z_4_0,0.0129427314937
part_00_shape_O5_norm,0.0127431060259
part_00_density_Z_3_0,0.0123211979493
part_00_density_I5_norm,0.0118766476832
electrons_over_resolution_00,0.0117950727524
part_00_shape_Z_1_0,0.0117361370018
part_00_shape_Z_3_1,0.0116909197891
part_00_density_CI,0.0116078240372
part_00_shape_CI,0.0114869652681
local_mean,0.0113567731197
part_00_density_I2_norm,0.0102401799139
delta_shape_segments_count_2,0.00973125913132
part_00_shape_Z_4_2,0.00950682315691
delta_volume_2,0.00937523638698
std_over_resolution_00,0.00927044809131
part_00_density_I6,0.0090415338805
skewness_over_volume_00,0.00886758421955
delta_mean_2,0.00858580021543
part_00_shape_Z_2_1,0.00858073549473
part_00_shape_Z_2_0,0.00856402533829
delta_mean_1,0.00853219053465
part_00_volume,0.00829938560729
resolution,0.00818316376783
part_00_mean,0.00817321592921
local_near_cut_count_C,0.0079850308703
std_over_volume_01,0.00761038586933
part_00_shape_FL,0.00605295355432
percent_cut,0.00459042524871
local_cut_by_mainchain_volume,0.00405596825058
