attribute,importance
part_00_density_E3_E1,0.0513979161536
delta_electrons_2,0.0289108331788
delta_electrons_1,0.0287744706357
local_near_cut_count_N,0.0272967776619
shape_segments_count_over_volume_00,0.0270167445375
delta_volume_1,0.0231328578882
part_00_density_sqrt_E1,0.0220155843952
part_00_density_sqrt_E2,0.0219923837977
part_00_density_O3_norm,0.0217921815423
part_00_shape_sqrt_E1,0.0215143804518
local_near_cut_count_C,0.0211094692366
volume_over_resolution_00,0.0208497648669
part_00_density_sqrt_E3,0.0198295822235
delta_density_sqrt_E1_1,0.0195322319952
part_00_density_E3_E2,0.0195141357454
part_00_density_Z_6_0,0.0183722407523
part_00_density_E2_E1,0.0183626881663
part_00_shape_sqrt_E3,0.0180781826902
delta_skewness_1,0.0175384668332
delta_volume_2,0.0173231829667
part_00_shape_E2_E1,0.0172065278995
local_near_cut_count_O,0.0169201553295
part_00_density_Z_7_0,0.0161641618923
delta_std_1,0.0161233656683
delta_density_sqrt_E3_1,0.0159418986168
delta_density_sqrt_E2_1,0.015890311734
part_00_density_Z_5_0,0.0154938530038
part_00_shape_Z_4_0,0.0153529408223
part_00_shape_O5_norm,0.0152282044723
delta_std_2,0.0151622231566
percent_cut,0.0149233344558
part_00_density_I4_norm,0.014896897726
local_mean,0.01478555849
part_00_density_CI,0.0147639230439
part_00_shape_CI,0.0147255208372
local_electrons,0.0145936462052
part_00_shape_Z_1_0,0.0145646863397
delta_skewness_2,0.0144522029134
part_00_density_O4_norm,0.0143591514881
part_00_volume,0.0143398345218
part_00_density_Z_3_0,0.0142753374953
part_00_shape_Z_3_1,0.0142126653816
part_00_electrons,0.0141784353964
part_00_shape_Z_4_2,0.0132446134143
part_00_shape_Z_2_0,0.0130419576113
part_00_density_I5_norm,0.0130301520093
electrons_over_resolution_00,0.0121867555958
local_cut_by_mainchain_volume,0.0120405848283
delta_shape_segments_count_2,0.0117908704251
std_over_resolution_00,0.0117654226784
part_00_shape_Z_2_1,0.0116412659605
resolution,0.0113824678085
part_00_density_I2_norm,0.0112894542822
skewness_over_volume_00,0.0111207001092
part_00_mean,0.0101639248826
delta_mean_2,0.00992976356396
delta_mean_1,0.00977169932424
std_over_volume_01,0.00963564186192
part_00_density_I6,0.00898756033913
part_00_shape_FL,0.00606825269648
