attribute,importance
part_00_density_E3_E1,0.051549829717
delta_electrons_2,0.0291098827959
delta_electrons_1,0.027906561495
shape_segments_count_over_volume_00,0.0270871193495
local_near_cut_count_N,0.0267272508407
delta_volume_1,0.0233496667738
part_00_density_sqrt_E2,0.022782899301
part_00_density_sqrt_E1,0.0221163432511
part_00_density_O3_norm,0.0219527094534
local_near_cut_count_C,0.0214712062035
part_00_shape_sqrt_E1,0.0213442043778
part_00_density_sqrt_E3,0.0198981099485
delta_density_sqrt_E1_1,0.0191905610069
part_00_shape_sqrt_E3,0.0191380652049
part_00_density_E3_E2,0.0191045160038
volume_over_resolution_00,0.0188891012048
part_00_density_Z_6_0,0.0185036840386
part_00_density_E2_E1,0.0180745566015
delta_skewness_1,0.0175504012203
delta_volume_2,0.0173318121596
part_00_shape_E2_E1,0.0172897507503
local_near_cut_count_O,0.0170860935397
delta_std_1,0.0162196749585
part_00_density_Z_7_0,0.0161805037664
delta_density_sqrt_E3_1,0.0158878529148
delta_density_sqrt_E2_1,0.0157968460547
part_00_density_Z_5_0,0.015538984594
part_00_shape_Z_4_0,0.0154817190037
delta_std_2,0.0151940391598
percent_cut,0.015135553284
part_00_shape_O5_norm,0.0150838455255
part_00_density_CI,0.0148359339673
delta_skewness_2,0.0147888632082
local_mean,0.0147456700745
part_00_electrons,0.0146235578702
part_00_density_O4_norm,0.0145900384127
part_00_shape_Z_1_0,0.0145772615227
part_00_density_I4_norm,0.0145354075002
part_00_shape_CI,0.0145340201541
part_00_volume,0.0144152372806
part_00_density_Z_3_0,0.0143629066249
part_00_shape_Z_4_2,0.0141488916798
part_00_shape_Z_3_1,0.0141460697663
local_electrons,0.0139083707025
part_00_density_I5_norm,0.0129602139588
part_00_shape_Z_2_0,0.0128002119892
electrons_over_resolution_00,0.0120395448411
std_over_resolution_00,0.0118205492683
delta_shape_segments_count_2,0.0117880791987
part_00_density_I2_norm,0.0117246367235
local_cut_by_mainchain_volume,0.0117060510308
part_00_shape_Z_2_1,0.0115412210823
resolution,0.0112117995883
skewness_over_volume_00,0.0107804045256
part_00_density_I6,0.0102273372754
part_00_mean,0.010069835263
delta_mean_2,0.00981035494745
delta_mean_1,0.00969625760191
std_over_volume_01,0.00941579418097
part_00_shape_FL,0.0062221352615
