attribute,importance
delta_electrons_1,0.0360949523747
shape_segments_count_over_volume_00,0.030209235847
part_00_density_E3_E1,0.0299301855266
delta_density_sqrt_E1_1,0.029767550528
part_00_density_E3_E2,0.0270438231528
local_near_cut_count_N,0.0245717540383
delta_density_sqrt_E3_1,0.0237174853683
delta_density_sqrt_E2_1,0.0235223229975
delta_std_1,0.0221835691482
part_00_density_O3_norm,0.0221647378057
local_mean,0.0210896283388
part_00_density_sqrt_E2,0.0207712035626
delta_electrons_2,0.0203466378152
part_00_shape_sqrt_E3,0.0199545994401
part_00_density_sqrt_E3,0.0196687020361
std_over_resolution_00,0.0196413099766
part_00_density_Z_6_0,0.0188212823123
delta_skewness_2,0.0187990255654
part_00_shape_O5_norm,0.0186586454511
local_near_cut_count_O,0.0182563345879
part_00_mean,0.0179926939309
delta_volume_1,0.0179173666984
resolution,0.0178899765015
delta_skewness_1,0.0174859538674
part_00_shape_Z_1_0,0.0169826373458
delta_std_2,0.0169261433184
part_00_shape_Z_4_0,0.0166779085994
part_00_density_Z_7_0,0.016501577571
part_00_density_I5_norm,0.015977717936
part_00_density_E2_E1,0.015874998644
part_00_shape_E2_E1,0.0155069278553
part_00_density_I4_norm,0.0150669543073
part_00_density_CI,0.0149710848927
skewness_over_volume_00,0.0148118725047
part_00_density_Z_5_0,0.0147588020191
part_00_shape_Z_3_1,0.0147211393341
part_00_density_sqrt_E1,0.0143736107275
part_00_shape_CI,0.0143479313701
part_00_shape_sqrt_E1,0.0141784474254
part_00_density_Z_3_0,0.0140295075253
electrons_over_resolution_00,0.0139867085963
delta_mean_2,0.0138857029378
part_00_density_O4_norm,0.0136614358053
delta_shape_segments_count_2,0.0135689899325
part_00_density_I2_norm,0.0134662725031
delta_mean_1,0.0133224679157
local_near_cut_count_C,0.0129270050675
part_00_shape_FL,0.012550374493
part_00_density_I6,0.0125401029363
volume_over_resolution_00,0.0121994223446
std_over_volume_01,0.0118176555261
delta_volume_2,0.0110849374905
part_00_shape_Z_4_2,0.0108212949708
part_00_shape_Z_2_0,0.00997729972005
part_00_electrons,0.00874126516283
local_electrons,0.00809243228287
part_00_volume,0.00801539421082
part_00_shape_Z_2_1,0.00773634435609
percent_cut,0.00605862447992
local_cut_by_mainchain_volume,0.00334003288299
